"INCIDENT NUMBER","CRASH DATE","STREET ADDRESS","CITY","STATE","INTERSECTING STREET","DISTRICT","ZONE","CRASH OCCURRED ON","TYPE OF ROADWAY","ROAD SURFACE","ROADWAY CONDITION","WEATHER CONDITION","LIGHTING CONDITION","INJURY","FATALITY","HIT AND RUN","PEDESTRIAN INVOLVED","TRAIN INVOLVED","INTERSECTION","TOTAL VEHICLES","VEHICLE ALIGNMENT","RELATION TO ROADWAY","MANNER OF COLLISION","PRIMARY FACTOR","SECONDARY FACTOR","LATITUDE","LONGITUDE","GEOMETRY"
"25-218406","2025 Nov 20 01:00:00 AM","10100 AIRLINE HWY","Baton Rouge","LA","DAWNADELE","11","3G-4","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Cloudy","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4202170307645","-91.0725938078105","POINT (-91.0725997 30.4202225)"
"25-218474","2025 Nov 20 01:00:00 AM","2300 HIGHLAND RD","Baton Rouge","LA","WEST BUCHANAN","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4255728251098","-91.1799194539016","POINT (-91.1799254 30.4255783)"
"25-218346","2025 Nov 20 01:00:00 AM","9000 AIRLINE HWY","Baton Rouge","LA","GOODWOOD","6","3C-1","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Wet",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Movement prior to crash","Not applicable","30.4454698113681","-91.090485362217","POINT (-91.0904913 30.4454753)"
"25-218383","2025 Nov 20 01:00:00 AM","1000 S SHERWOOD FOREST BLVD","Baton Rouge","LA","SHERATON","6","3E-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","0","1","0","false","1","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Non-motorist action","30.4463632888463","-91.0578613886996","POINT (-91.0578673 30.4463688)"
"25-218589","2025 Nov 20 01:00:00 AM","3225 PERKINS  RD","Baton Rouge","LA","CEDERDALE","12","2B-1","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Dawn/dusk","1","0","1","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4234671840287","-91.155471165432","POINT (-91.1554771 30.4234727)"
"25-216033","2025 Nov 20 01:00:00 AM","I-110","Baton Rouge","LA","NONE","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Movement prior to crash","30.4412850443997","-91.1782311409671","POINT (-91.1782371 30.4412905)"
"25-218425","2025 Nov 20 01:00:00 AM","8869 JEFFERSON HWY","Baton Rouge","LA","JEFFERSON","11","3G-4","State highway","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","In parking lane or zone","Front to rear - rear end","Violations","Movement prior to crash","30.4177378341202","-91.0909233693693","POINT (-91.0909293 30.4177433)"
"25-218366","2025 Nov 20 01:00:00 AM","2200 WOODDALE BLVD","Baton Rouge","LA","S.CHOCTAW","6","1D-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","false","1","Straight","On roadway","Not a collision between two motor vehicles in transport","Driver condition","Driver condition","30.4687694213369","-91.1157651226943","POINT (-91.115771 30.4687749)"
"25-218459","2025 Nov 20 01:00:00 AM","5600 PLANK RD","Baton Rouge","LA","LORRAIN","5","4E-2","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.5007342070336","-91.1527174567498","POINT (-91.1527234 30.5007397)"
"25-218387","2025 Nov 20 01:00:00 AM","245 I-110 HWY","Baton Rouge","LA","SCENIC","10","1B-2","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.463514497407","-91.1663972012203","POINT (-91.1664031 30.46352)"
"25-218532","2025 Nov 20 01:00:00 AM","3500 PERKINS RD","Baton Rouge","LA","ACADIAN","12","2B-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4204608866","-91.151415603197","POINT (-91.1514215 30.4204664)"
"25-218441","2025 Nov 20 01:00:00 AM","7300 GOODWOOD BLVD","Baton Rouge","LA","LOBDELL","7","3G-3","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Curve Right","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4424166175417","-91.1099372937785","POINT (-91.1099432 30.4424221)"
"25-218408","2025 Nov 20 01:00:00 AM","15490 I-10 HWY","Baton Rouge","LA","MISSISSIPPI RIVER","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Curve Right","On roadway","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4388635907552","-91.1886064405448","POINT (-91.1886124 30.4388691)"
"25-218405","2025 Nov 20 01:00:00 AM","9830 OLD HAMMOND HWY","Baton Rouge","LA","OLD HAMMOND","6","3C-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4318591961964","-91.0778942705661","POINT (-91.0779002 30.4318647)"
"25-218626","2025 Nov 20 01:00:00 AM","7900 SCENIC HWY","Baton Rouge","LA","HARDING","2","4B-1","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - street lights at intersection only","0","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.5205485674968","-91.1792191849126","POINT (-91.1792251 30.5205541)"
"25-218440","2025 Nov 20 01:00:00 AM","7000 STUMBERG LN","Rural East Baton Rouge","LA","NA","9","3F-3","Parish road","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Curve Left","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.3865291548502","-91.0346671856146","POINT (-91.0346731 30.3865346)"
"25-218634","2025 Nov 20 01:00:00 AM","7800 AIRLINE HWY","Baton Rouge","LA","TOM","6","1D-2","US highway","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4698938797626","-91.1080918602209","POINT (-91.1080978 30.4698994)"
"25-218099","2025 Nov 19 01:00:00 AM","15490  EAST I-10 HWY","Baton Rouge","LA","NICHOLSON","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Curve Left","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4387134986247","-91.1798109435696","POINT (-91.1798169 30.438719)"
"25-218470","2025 Nov 19 01:00:00 AM","190 N I-110 HWY","Baton Rouge","LA","SCENIC","2","4C-1","US highway","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Curve Right","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.5087598624179","-91.1719509309328","POINT (-91.1719569 30.5087654)"
"25-218110","2025 Nov 19 01:00:00 AM","900 STANFORD ST","Baton Rouge","LA","W. LAKE SHORE","12","2D-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.406904628887","-91.1648695652694","POINT (-91.1648755 30.4069101)"
"25-218064","2025 Nov 19 01:00:00 AM","500 S FOSTER DR","Baton Rouge","LA","GOVERNMENT","7","1C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Cloudy","Daylight","1","0","0","0","0","true","2","Curve Right","On roadway","Front to rear - rear end","Violations","Not applicable","30.4448722207494","-91.1386544537834","POINT (-91.1386604 30.4448777)"
"25-218019","2025 Nov 19 01:00:00 AM","1660 LOBDELL AVE","Baton Rouge","LA","GOODWOOD","11","3G-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to front - head on","Violations","Movement prior to crash","30.4355298228955","-91.110698761079","POINT (-91.1107047 30.4355353)"
"25-218206","2025 Nov 19 01:00:00 AM","3100 COLLEGE DR","Baton Rouge","LA","CONCORD","7","2B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","false","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4197202751971","-91.1411159214957","POINT (-91.1411218 30.4197258)"
"25-218188","2025 Nov 19 01:00:00 AM","AIRLINE HWY","Baton Rouge","LA","NONE","6","1D-2","US highway","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Movement prior to crash","30.4730561939664","-91.110346221783","POINT (-91.1103521 30.4730617)"
"25-218222","2025 Nov 19 01:00:00 AM","12900 OLD HAMMOND HWY","Baton Rouge","LA","S FLANNERY","8","3E-4","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Violations","30.445434125129","-91.0343450438112","POINT (-91.0343509 30.4454396)"
"25-218077","2025 Nov 19 01:00:00 AM","I-10 HWY","Baton Rouge","LA","COLLEGE","7","2B-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4228211295996","-91.1392883995166","POINT (-91.1392943 30.4228266)"
"25-218197","2025 Nov 19 01:00:00 AM","12301 COURSEY BLVD","Baton Rouge","LA","LAKE SHERWOOD AVE EAST","8","3F-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4110139698435","-91.0414807629556","POINT (-91.0414867 30.4110195)"
"25-218282","2025 Nov 19 01:00:00 AM","15650 I-10","Baton Rouge","LA","DALRYMPLE","10","2D-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","false","3","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4272323722462","-91.1692074464786","POINT (-91.1692134 30.4272379)"
"25-218009","2025 Nov 19 01:00:00 AM","9750 S FLORIDA SERVICE RD","Baton Rouge","LA","MARILYN","6","3C-1","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Curve Left","Off roadway, location unknown","Front to rear - rear end","Driver condition","Movement prior to crash","30.4553532549179","-91.0772076404096","POINT (-91.0772135 30.4553587)"
"25-218093","2025 Nov 19 01:00:00 AM","GREENWELL SPRINGS RD","Baton Rouge","LA","LONE OAK DR","6","3A-1","State highway","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - left into flow","Violations","Violations","30.4784753774692","-91.1074048562764","POINT (-91.1074108 30.4784809)"
"25-217994","2025 Nov 19 01:00:00 AM","15835 WEST I-10 HWY","Baton Rouge","LA","S ACADIAN","7","2B-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","1","0","0","false","4","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4239122204726","-91.1463369765932","POINT (-91.1463429 30.4239177)"
"25-218028","2025 Nov 19 01:00:00 AM","9700 AIRLINE HWY","Baton Rouge","LA","OLD HAMMOND","11","3G-3","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left into flow","Violations","Movement prior to crash","30.4316571786654","-91.0807884824955","POINT (-91.0807944 30.4316627)"
"25-217990","2025 Nov 19 01:00:00 AM","800 GREEN OAK DR","Baton Rouge","LA","FLORIDA","6","3D-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Fog, smog, smoke","Dawn/dusk","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4580685602167","-91.0645124845425","POINT (-91.0645184 30.4580741)"
"25-218003","2025 Nov 19 01:00:00 AM","600 LOBDELL AVE","Baton Rouge","LA","GOOWOOD","7","3G-3","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4453734641249","-91.1117044385396","POINT (-91.1117104 30.4453789)"
"25-218108","2025 Nov 19 01:00:00 AM","700 LAUREL ST","Baton Rouge","LA","SEVENTH","10","5A-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left overtake","Violations","Movement prior to crash","30.4505079877974","-91.183465069808","POINT (-91.183471 30.4505135)"
"25-218228","2025 Nov 19 01:00:00 AM","10800 GREENWELL SPRINGS RD","Baton Rouge","LA","N SHERWOOD FOREST","5","3A-3","State highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - street lights at intersection only","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4937765996051","-91.0628947742979","POINT (-91.0629007 30.4937821)"
"25-218055","2025 Nov 19 01:00:00 AM","9201-9249 AIRLINE HWY","Baton Rouge","LA","GOODWOOD","6","3C-2","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.440487910509","-91.0868893293246","POINT (-91.0868952 30.4404934)"
"25-218082","2025 Nov 19 01:00:00 AM","9700 AIRLINE HWY","Baton Rouge","LA","OLD HAMMOND","11","3G-3","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left into flow","Violations","Movement prior to crash","30.4316571786654","-91.0807884824955","POINT (-91.0807944 30.4316627)"
"25-218220","2025 Nov 19 01:00:00 AM","646 INTERSTATE 110 HWY","Baton Rouge","LA","HARDING","2","4C-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.5204132984914","-91.1603959895774","POINT (-91.1604019 30.5204188)"
"25-218111","2025 Nov 19 01:00:00 AM","5700 GOVERNMENT ST","Baton Rouge","LA","RAPIDES","7","1C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4447043535361","-91.1315368334745","POINT (-91.1315428 30.4447098)"
"25-218204","2025 Nov 19 01:00:00 AM","900 NORTH BLVD","Baton Rouge","LA","N TJ JEMISON","10","5A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Movement prior to crash","Violations","30.4474389098191","-91.1805503313066","POINT (-91.1805563 30.4474444)"
"25-217997","2025 Nov 19 01:00:00 AM","2900 HARDING BLVD","Baton Rouge","LA","VETERANS  MEMORIAL","2","4B-2","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Curve Right","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.5214020495513","-91.161198598648","POINT (-91.1612045 30.5214076)"
"25-218138","2025 Nov 19 01:00:00 AM","400 LEE DR","Baton Rouge","LA","BOONE","12","2D-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.3982285252359","-91.1557543454505","POINT (-91.1557603 30.398234)"
"25-218202","2025 Nov 19 01:00:00 AM","AIRLINE HWY","Baton Rouge","LA","S CHOCTAW","6","1D-2","US highway","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Movement prior to crash","30.4712283851589","-91.1090516087292","POINT (-91.1090575 30.4712339)"
"25-218193","2025 Nov 19 01:00:00 AM","COLLEGE RD","Baton Rouge","LA","WEST I10","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Violations","30.418549811759","-91.1767481908132","POINT (-91.1767541 30.4185553)"
"25-218218","2025 Nov 19 01:00:00 AM","9001 CORTANA PL","Baton Rouge","LA","CENTERWAY","6","3B-1","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4564756762133","-91.0931931614594","POINT (-91.0931991 30.4564812)"
"25-217643","2025 Nov 18 01:00:00 AM","900 LA 30 HWY","Baton Rouge","LA","SOUTH","10","5A-1","State highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4395243878196","-91.1873267610136","POINT (-91.1873327 30.4395299)"
